accuracy,loss,t-loss
0.32812,193.24756,180.43018
0.32031,93.72913,74.69954
0.19531,54.52294,40.28784
0.21875,13.40874,14.22564
0.12500,2.73055,2.65363
0.17969,2.91861,2.45371
0.19531,3.01242,2.34168
0.10938,2.20620,2.34649
0.20312,2.41346,2.12191
0.16406,2.19709,2.03079
0.20312,2.05972,2.05640
0.20312,2.12730,1.94347
0.17188,2.15618,2.18193
0.22656,2.12336,2.24002
0.22656,2.09988,2.02603
0.21094,2.08135,1.92704
0.17188,2.16902,2.06441
0.22656,2.06065,2.02543
0.14062,2.15583,2.08147
0.31250,2.03556,2.08272
0.13281,2.07001,2.03328
0.21094,1.93606,2.02127
0.15625,2.04644,1.80612
0.17969,2.11750,1.96573
0.17188,2.07403,2.00905
0.18750,1.98093,1.89184
0.25781,2.09995,1.87985
0.25000,1.90675,1.91195
0.26562,2.07658,1.97805
0.30469,1.83311,1.87327
0.27344,1.84010,1.90489
0.25000,2.00185,1.73221
0.22656,1.93058,1.86717
0.32812,1.87764,1.84883
0.27344,1.87077,1.80941
0.28906,1.86853,1.99710
0.18750,1.93351,1.97898
0.24219,2.04071,1.85910
0.23438,1.94872,2.05919
0.22656,1.85229,1.77291
0.25000,1.97166,1.92987
0.23438,1.84573,1.93696
0.15625,2.07240,1.98463
0.23438,1.99778,2.03554
0.28125,1.83681,1.84306
0.26562,1.91189,1.86601
0.23438,1.96952,1.84225
0.25781,1.81658,1.82339
0.20312,1.81137,1.81233
0.32031,1.98334,1.85382
0.30469,1.77174,1.76245
0.24219,1.94349,1.85139
0.18750,1.89911,1.82717
0.26562,1.75173,1.79926
0.32812,1.80129,1.76585
0.25000,1.90414,1.82502
0.28125,1.94117,1.80706
0.26562,1.85401,1.76587
0.28125,1.84454,1.66619
0.28125,2.42644,2.05544
0.25000,1.88309,1.81742
0.21875,1.87050,1.85049
0.28125,1.73996,1.72399
0.25000,1.88193,1.65792
0.29688,1.85465,1.85436
0.26562,1.89494,1.76408
0.39062,1.68321,1.76980
0.33594,1.79617,1.82610
0.32812,1.68969,1.61293
0.30469,1.65307,1.79844
0.25781,1.87032,1.63973
0.32812,1.77976,1.72353
0.22656,1.99759,1.83278
0.26562,1.76135,1.79325
0.25781,1.82839,1.86257
0.34375,1.65199,1.72526
0.25781,1.69841,1.59002
0.25781,1.77179,1.72791
0.31250,1.68070,1.65042
0.35156,1.73296,1.85240
0.34375,1.79208,1.86679
0.28906,1.83591,1.74681
0.31250,1.71717,1.56260
0.31250,1.59331,1.58184
0.30469,1.71103,1.59846
0.31250,1.75164,1.64625
0.33594,1.68396,1.69773
0.37500,1.57548,1.53406
0.30469,1.76388,1.67801
0.30469,1.76244,1.61964
0.25000,1.78495,1.59069
0.31250,1.82880,1.71899
0.30469,1.58180,1.64160
0.28125,1.73948,1.57067
0.31250,1.92013,1.61783
0.34375,1.64979,1.64105
0.30469,1.81418,1.53254
0.34375,1.60638,1.59161
0.24219,1.69954,1.55072
0.32812,1.62714,1.53552
0.32812,1.75405,1.64578
0.23438,1.89455,1.56202
0.30469,1.78829,1.58801
0.36719,1.70354,1.49856
0.31250,1.56947,1.57265
0.37500,1.85074,1.52121
0.33594,1.62418,1.45869
0.31250,1.70866,1.61854
0.25781,1.75891,1.59528
0.32031,1.66827,1.59266
0.33594,1.71149,1.64338
0.32812,1.73048,1.65343
0.40625,1.62301,1.44446
0.35156,1.52425,1.41798
0.34375,1.60304,1.68101
0.32031,1.82794,1.61715
0.34375,1.47286,1.58022
0.36719,1.58761,1.37983
0.40625,1.48816,1.48328
0.34375,1.73533,1.63962
0.36719,1.56515,1.55282
0.32812,1.67431,1.46616
0.35156,1.55537,1.44496
0.35156,1.56184,1.41513
0.34375,1.65486,1.52210
0.34375,1.65649,1.63674
0.39062,1.59014,1.46975
0.39062,1.59600,1.63423
0.32031,1.60508,1.51869
0.30469,1.74954,1.56375
0.39062,1.70767,1.61000
0.28906,1.75535,1.59031
0.36719,1.59997,1.63898
0.48438,1.53942,1.37329
0.32812,1.73695,1.31766
0.39844,1.50285,1.54430
0.36719,1.55674,1.27454
0.34375,1.53138,1.32645
0.41406,1.44717,1.50123
0.47656,1.56043,1.45277
0.45312,1.51985,1.40928
0.42188,1.73275,1.61987
0.35938,1.82342,1.51988
0.42188,1.59275,1.26439
0.40625,1.59361,1.28712
0.37500,1.56124,1.56121
0.31250,1.57643,1.40627
0.35938,1.62024,1.31795
0.42188,1.48870,1.47143
0.41406,1.36451,1.37493
0.42188,1.43971,1.26218
0.31250,1.63658,1.34924
0.38281,1.45625,1.31674
0.42188,1.56058,1.40172
0.39062,1.71195,1.37629
0.35938,1.50247,1.17312
0.33594,1.72615,1.26850
0.35938,1.66743,1.50170
0.43750,1.59842,1.51800
0.37500,1.69351,1.39153
0.39844,1.60601,1.24918
0.49219,1.34968,1.40368
0.46094,1.43192,1.57298
0.44531,1.51481,1.33300
0.42969,1.47593,1.60693
0.39844,1.66735,1.55774
0.38281,1.64702,1.44340
0.53125,1.34323,1.42640
0.46094,1.47044,1.35678
0.52344,1.41117,1.20806
0.38281,1.80415,1.37282
0.43750,1.55207,1.31009
0.39844,1.57409,1.16586
0.46094,1.59604,1.44251
0.44531,1.67708,1.25738
0.53906,1.21930,1.35823
0.49219,1.55107,1.28048
0.46875,1.52991,1.05084
0.41406,1.43203,1.22189
0.47656,1.49317,1.29942
0.34375,1.65852,1.33605
0.52344,1.76596,1.12229
0.50000,1.37288,1.27625
0.42188,1.64254,1.30091
0.45312,1.37729,1.02092
0.42188,1.43669,1.38183
0.42188,1.44681,1.44105
0.50000,1.40021,1.18103
0.57812,1.57137,1.07199
0.43750,1.55870,1.17747
0.46875,1.45855,1.14466
0.44531,1.56367,1.05996
0.49219,1.52757,1.20408
0.54688,1.32022,1.08428
0.44531,1.48784,1.39860
0.46875,1.40777,1.21108
0.47656,1.86677,0.93924
0.53906,1.87710,1.24507
0.50000,1.48728,1.04803
0.53125,1.69000,1.25993
0.43750,1.71643,1.19431
0.46094,1.69293,1.16269
0.47656,1.25810,0.98166
0.51562,1.54175,1.41017
0.42188,1.72337,1.08821
0.51562,1.41198,1.23308
0.53125,1.38365,1.23563
0.51562,1.66330,0.87282
0.54688,1.36221,1.21748
0.54688,1.37622,0.91236
0.59375,1.41246,1.32494
0.53906,1.51135,1.41317
0.57031,1.46168,0.88632
0.51562,1.76225,1.16474
0.55469,1.33375,0.94375
0.46094,1.72172,1.01263
0.47656,1.72023,1.13779
0.54688,1.30916,0.92835
0.50000,1.61079,0.98487
0.53125,1.78962,1.11959
0.61719,1.32747,1.13668
0.50781,1.57294,0.74099
0.52344,1.76575,0.77784
0.51562,1.49152,0.92479
0.50000,1.64993,0.91861
0.64844,1.18463,0.67274
0.60938,1.61238,0.87204
0.53125,1.67813,0.77428
0.53125,1.54103,0.94761
0.52344,1.48796,0.70560
0.58594,1.50740,0.82868
0.58594,1.37779,0.64363
0.48438,1.71119,0.98184
0.60938,1.63027,0.60267
0.66406,1.10016,0.79752
0.51562,1.55153,0.67416
0.53906,1.56460,0.74857
0.59375,1.33601,0.69015
0.57031,1.95134,0.49101
0.60938,1.47123,0.80671
0.53906,1.97309,0.60345
0.60938,1.77443,0.70654
0.53125,1.81935,0.71533
0.57031,1.47352,0.52932
0.57812,1.99485,0.54520
0.65625,1.15464,0.56574
0.63281,1.40125,0.67442
0.60156,1.42375,0.48770
0.54688,1.99633,0.59151
0.60156,1.51014,0.64540
0.56250,1.86220,0.71071
0.64062,1.62547,0.49538
0.64062,1.81006,0.59642
0.66406,1.30893,0.42857
0.55469,1.57567,0.81068
0.45312,2.08420,0.63210
0.60938,1.50078,0.45785
0.61719,1.53955,0.79335
0.63281,1.84554,0.92711
0.67969,1.35340,0.60067
0.64062,1.35811,0.53384
0.65625,1.67026,0.59080
0.67969,1.53760,0.78479
0.60938,1.86432,0.50601
0.60938,1.69891,0.58061
0.65625,1.43627,0.37314
0.67969,1.39894,0.42111
0.55469,1.89468,0.35644
0.58594,1.77015,0.74041
0.57812,1.81327,0.55050
0.68750,1.39548,0.38809
0.62500,1.43197,0.33094
0.61719,2.21346,0.25353
0.60156,2.37520,0.40098
0.60156,2.23901,0.42103
0.52344,1.89116,0.37521
0.55469,2.10034,0.20291
0.53125,2.33939,0.42957
0.65625,1.70530,0.31946
0.56250,2.12651,0.59094
0.64062,1.84954,0.38014
0.63281,1.64821,0.48354
0.51562,2.40803,0.33239
0.56250,3.29368,0.29187
0.64062,1.58217,0.42512
0.50781,2.52968,0.60250
0.67188,1.51696,0.38212
0.56250,2.32942,0.46928
0.56250,2.33928,0.45060
0.60156,2.20519,0.38121
0.62500,1.97629,0.45274
0.60156,2.05802,0.38814
0.59375,2.34787,0.42893
0.57031,2.33199,0.30606
0.64844,2.00220,0.32323
0.59375,2.08231,0.22948
0.59375,1.95961,0.39821
0.50781,2.56760,0.40140
0.64062,1.80363,0.25043
0.60156,2.37551,0.20840
0.54688,1.78680,0.32250
0.59375,2.15919,0.25956
0.54688,2.85049,0.14994
0.60938,2.06431,0.20462
0.57031,1.85279,0.20878
0.58594,2.26507,0.25838
0.60156,2.11958,0.68294
0.54688,2.72097,0.48082
0.61719,2.10671,0.46582
0.63281,1.59285,0.21098
0.62500,1.66221,0.27959
0.55469,2.50951,0.25621
0.57812,2.03442,0.15939
0.57812,2.89358,0.35871
0.58594,2.58576,0.32068
0.58594,2.76892,0.31056
0.53906,2.90913,0.16246
0.57812,2.40290,0.20784
0.52344,3.23651,0.30582
0.60156,2.69501,0.12463
0.59375,2.38470,0.09972
0.57812,1.95542,0.64058
0.61719,2.00706,0.18999
0.67188,1.79034,0.17954
0.61719,2.41149,0.22511
0.62500,1.89152,0.25950
0.59375,2.61799,0.32803
0.61719,2.26528,0.14788
0.62500,2.36763,0.24162
0.58594,2.11318,0.13031
0.56250,2.01656,0.32004
0.60156,2.02316,0.34051
0.61719,2.06535,0.10010
0.68750,1.78381,0.14894
0.62500,2.44474,0.21668
0.63281,2.82462,0.20487
0.65625,1.91838,0.13468
0.57812,3.01760,0.15433
0.64062,2.26027,0.18184
0.56250,2.18596,0.21287
0.59375,1.93961,0.54092
0.56250,2.39720,0.28260
0.57812,2.32169,0.48702
0.57812,2.75597,0.16328
0.64844,2.27571,0.08086
0.58594,2.61475,0.19783
0.57812,1.97004,0.48328
0.59375,2.06525,0.15691
0.64062,2.60130,0.21465
0.70312,1.82767,0.16566
0.57812,2.45995,0.25264
0.64062,1.81634,0.19552
0.63281,2.55563,0.25060
0.57031,2.61363,0.07790
0.61719,3.12232,0.18778
0.59375,2.55561,0.31888
0.64062,2.23329,0.22833
0.57812,2.62347,0.13329
0.58594,2.60564,0.38914
0.60938,2.38549,0.14577
0.60156,2.47340,0.14701
0.68750,2.60686,0.32664
0.60156,2.48242,0.43834
0.57812,3.29201,0.13889
0.60156,2.46499,0.09717
0.68750,2.79589,0.09964
0.57031,3.73864,0.13223
0.60156,2.76668,0.21279
0.60938,3.01355,0.33567
0.59375,2.68000,0.35791
0.53125,3.18101,0.17785
0.64844,2.69524,0.27371
0.56250,3.03512,0.49041
0.59375,2.64173,0.06585
0.65625,2.33853,0.14184
0.64062,2.21132,0.27379
0.64844,2.10227,0.35176
0.71875,2.02193,0.15189
0.60156,2.63302,0.82570
0.60156,2.16855,0.36013
0.60156,2.47019,0.56544
0.63281,2.53383,0.20180
0.66406,1.65566,0.08039
0.62500,2.33394,0.09739
0.72656,1.69641,0.23543
0.60156,2.91037,0.21679
0.61719,2.88330,0.15132
0.61719,2.83330,0.22893
0.73438,1.45083,0.06969
0.56250,3.44096,0.40689
0.59375,2.69245,0.06950
0.66406,2.25968,0.20385
0.60156,2.47811,0.07710
0.57812,2.93562,0.10526
0.59375,2.83482,0.10952
0.63281,2.61642,0.12840
0.65625,3.59113,0.04287
0.60156,2.32617,0.08493
0.57812,2.77217,0.18512
0.61719,3.57841,0.33391
0.67188,2.45284,0.04206
0.67969,2.66616,0.34824
0.69531,2.85071,0.15681
0.64062,3.61889,0.04246
0.64062,2.00930,0.13422
0.64844,2.38037,0.18967
0.67969,2.07748,0.23171
0.66406,2.07924,0.07171
0.58594,2.88949,0.22537
0.54688,2.55010,0.14602
0.66406,2.41994,0.23210
0.70312,2.01510,0.11696
0.66406,2.79363,0.10165
0.51562,4.22143,0.37009
0.61719,1.40380,0.65310
0.60156,2.01676,0.40805
0.60156,1.92514,0.13152
0.61719,2.65565,0.20815
0.65625,2.12348,0.20263
0.64844,1.80920,0.14031
0.60938,2.86166,0.26326
0.52344,3.41407,0.10168
0.59375,3.00830,0.04295
0.64062,3.13454,0.18061
0.64844,4.01659,0.16613
0.61719,4.28829,0.18369
0.63281,3.08560,0.09866
0.66406,2.69806,0.27752
0.60938,2.72972,0.07143
0.60938,2.74302,0.09484
0.68750,2.78541,0.20686
0.68750,1.53235,0.12694
0.52344,3.46398,0.18188
0.60156,3.11154,0.20207
0.63281,3.12230,0.17633
0.67188,3.06775,0.09330
0.74219,1.59226,0.30555
0.57031,3.31095,0.04473
0.52344,2.91817,0.27196
0.64844,3.01859,0.10931
0.70312,3.65922,0.07009
0.54688,3.51907,0.16967
0.62500,2.62260,0.07244
0.67188,2.18500,0.05524
0.57812,2.56504,1.03508
0.64062,1.86068,0.09914
0.60156,2.16244,0.26279
0.60938,2.41078,0.20911
0.57812,3.04997,0.05680
0.46875,2.48509,1.25001
0.56250,2.43078,0.13992
0.67969,1.95262,0.08350
0.66406,1.39049,0.46598
0.57031,2.35278,0.41170
0.62500,2.27685,0.07454
0.67969,2.26133,0.17894
0.55469,2.66950,0.15533
0.65625,2.28893,0.05777
0.64062,2.46842,0.26636
0.60938,2.77799,0.08197
0.61719,2.96337,0.06424
0.56250,4.02225,1.33233
0.54688,3.26908,0.15560
0.55469,2.94684,0.08150
0.60156,3.05789,0.13854
0.68750,2.02854,0.11958
0.64844,3.08356,0.03261
0.64844,2.76103,0.04556
0.67188,2.38721,0.07985
0.64844,3.19100,0.16081
0.63281,2.98644,0.07376
0.60938,2.95351,0.18216
0.59375,3.23206,0.24122
0.65625,3.24240,0.36045
0.61719,3.79130,0.03613
0.59375,2.86124,0.04171
0.55469,3.37794,0.12370
0.60938,2.69860,0.10728
0.68750,2.78231,0.04403
0.67969,3.37012,0.05774
0.58594,3.90714,0.04004
0.64844,3.24571,0.08213
0.64844,3.49036,0.17235
0.57031,2.41480,1.05247
0.59375,3.68963,0.22633
0.64844,2.36412,0.09179
0.64062,2.26893,0.17732
0.66406,2.64935,0.32447
0.54688,3.37769,0.19397
0.66406,3.76204,0.01640
0.65625,2.81354,0.10125
0.64844,2.89829,0.04580
0.68750,2.67324,0.14004
0.62500,3.85457,0.02188
0.60156,4.45760,0.04338
0.59375,3.99645,0.16117
0.62500,2.54084,0.10708
0.60938,3.47720,0.30857
0.56250,3.19108,0.14357
0.60156,3.37280,0.04927
0.57812,3.64407,0.07472
0.66406,4.26412,0.15204
