accuracy,loss,t-loss
0.51562,1.20877,0.96033
0.50781,1.25249,1.34991
0.58594,1.21148,0.90952
0.56250,1.28481,0.93692
0.46875,1.38392,1.00905
0.45312,1.39139,1.04269
0.61719,1.14573,0.76189
0.50000,1.08933,0.86498
0.50781,1.31018,0.92922
0.53125,1.60965,1.08618
0.52344,1.43917,0.77784
0.49219,1.27641,0.73796
0.55469,1.28411,0.66087
0.58594,1.18973,1.13629
0.48438,1.26816,0.94886
0.58594,1.27443,0.99794
0.52344,1.25172,0.98857
0.50781,1.45437,1.01970
0.55469,1.35772,0.88498
0.55469,1.31325,0.83413
0.56250,1.42137,0.93478
0.50781,1.26429,0.75987
0.53125,1.69247,0.96495
0.64844,1.39382,1.06565
0.56250,1.55706,1.03955
0.53125,1.35359,0.77171
0.54688,1.30727,0.71264
0.53906,1.06007,0.67689
0.56250,1.28363,0.55177
0.57031,1.28305,0.72531
0.58594,1.13855,0.71996
0.63281,1.16775,0.68496
0.53125,1.46192,0.66489
0.64062,1.16637,0.89190
0.60156,1.33688,0.58047
0.59375,1.28203,0.62344
0.57031,1.68712,0.66611
0.53906,1.49394,0.60777
0.56250,1.44876,0.64067
0.57812,2.09095,0.54352
0.58594,1.43621,0.81970
0.62500,1.28962,0.57024
0.57812,1.50639,0.38344
0.60938,1.46811,0.77945
0.59375,1.64956,0.56747
0.65625,0.96774,0.63716
0.64062,1.42975,0.64769
0.66406,1.21857,0.52993
0.61719,1.55885,0.56728
0.57812,1.98160,0.32986
0.61719,1.53378,0.65320
0.57031,1.68418,0.43717
0.71094,0.92490,0.35428
0.65625,1.38529,0.38742
0.66406,1.40280,0.23396
0.57031,1.52281,0.48720
0.65625,1.28264,0.34309
0.63281,1.62751,0.27567
0.52344,2.01657,0.43762
0.68750,1.44175,0.51191
0.60156,1.42063,0.45044
0.62500,1.81265,0.25642
0.56250,1.56621,0.45366
0.59375,1.60581,0.21314
0.64062,1.82451,0.39054
0.68750,1.27563,0.24056
0.70312,1.74664,0.36361
0.62500,1.26305,0.29644
0.60156,1.76245,0.21090
0.74219,1.00513,0.29609
0.62500,2.02743,0.39013
0.60156,2.38324,0.45487
0.58594,1.90307,0.28765
0.58594,1.93142,0.62675
0.52344,1.89523,0.35727
0.67188,1.59427,0.28021
0.64062,1.70184,0.22455
0.63281,2.13016,0.54118
0.61719,1.55419,0.30572
0.64844,1.82177,0.59523
0.60938,1.79342,0.38311
0.55469,2.27285,0.79490
0.50781,2.27086,1.63102
0.59375,1.52058,0.58716
0.61719,1.41577,0.21854
0.58594,1.81356,0.32009
0.53125,2.28062,0.36183
0.53906,2.12916,0.28188
0.70312,1.83274,0.18785
0.54688,2.11750,0.13673
0.55469,2.43060,0.30341
0.67969,1.94012,0.14048
0.55469,2.09444,0.30702
0.67969,2.24284,0.09179
0.60938,1.89903,0.19655
0.61719,2.19626,0.21223
0.57031,2.03153,0.21575
0.60938,2.20458,0.24853
0.67188,2.21589,0.19502
0.62500,1.96856,0.12282
0.60156,2.19469,0.23520
0.63281,1.85213,0.27184
0.64062,2.19849,0.29097
0.65625,2.19353,0.25812
0.63281,1.76810,0.14894
0.64062,2.14651,0.10292
0.66406,1.91510,0.23002
0.42969,1.91483,1.76246
0.55469,1.38589,0.62848
0.60938,1.47183,0.37030
0.68750,1.88379,0.20163
0.62500,1.69449,0.50427
0.59375,1.89035,0.18660
0.63281,1.85681,0.35282
0.66406,1.73685,0.34026
0.62500,1.98346,0.19098
0.64062,2.16393,0.09469
0.65625,1.91954,0.23133
0.57031,2.75839,0.07662
0.60156,2.01143,0.10027
0.60156,2.33832,0.16461
0.64062,1.89657,0.49373
0.56250,2.59225,0.20939
0.64062,1.98146,0.11500
0.60938,2.60235,0.03835
0.62500,2.57929,0.14676
0.69531,2.50219,0.31867
0.62500,2.18271,0.10177
0.67969,2.03052,0.21398
0.57812,2.91739,0.04900
0.57031,2.57899,0.23516
0.67188,1.94189,0.23668
0.61719,2.14278,0.15116
0.55469,2.75528,0.20197
0.59375,2.46750,0.18653
0.71094,1.93155,0.06096
0.71875,1.93008,0.15571
0.67969,1.87087,0.55612
0.59375,2.95233,0.08210
0.60156,2.97531,0.51115
0.60938,2.22191,0.10361
0.62500,2.56086,0.19579
0.62500,1.93255,0.20828
0.57031,2.45688,0.07775
0.64062,2.70240,0.12425
0.62500,1.83912,0.29660
0.64844,2.40019,0.60380
0.60938,3.24766,0.21222
0.72656,1.64271,0.11293
0.57812,3.55734,0.22094
0.57031,2.16932,0.11754
0.60938,2.48912,0.45528
0.67188,2.27617,0.16038
0.69531,1.86216,0.15234
0.68750,1.80176,0.26674
0.68750,1.73425,0.17338
0.59375,2.76912,0.10740
0.60938,2.43917,0.10232
0.64062,2.24405,0.19106
0.64062,2.04834,0.41139
0.61719,2.93740,0.17854
0.62500,2.46259,0.15242
0.65625,2.05596,0.10799
0.66406,2.23857,0.14984
0.60938,2.47698,0.21245
0.59375,2.35685,0.20098
0.59375,2.58645,0.06834
0.63281,2.68193,0.08771
0.53125,2.61583,0.26967
0.63281,2.09194,0.17260
0.64844,2.88079,0.05448
0.68750,2.22620,0.13118
0.61719,2.76444,0.11694
0.69531,2.36155,0.08858
0.69531,1.75095,0.08842
0.64062,2.15401,0.11873
0.60938,3.07638,0.10580
0.71875,1.73629,0.04003
0.62500,2.27898,0.06962
0.61719,2.37475,0.21062
0.52344,3.21572,0.62420
0.68750,1.79393,0.09472
0.64844,2.41377,0.11730
0.66406,2.04742,0.14057
0.64844,2.28249,0.27271
0.71875,1.84295,0.15487
0.64844,1.80402,0.13944
0.60156,2.46630,0.12021
0.64844,2.44056,0.21810
0.62500,2.64028,0.10010
0.64062,2.39055,0.18962
0.72656,2.01137,0.08771
0.55469,3.11527,0.17071
0.61719,2.52270,0.37004
0.62500,2.53073,0.21136
0.55469,2.59153,0.14740
0.65625,2.77669,0.08484
0.62500,3.07302,0.15810
0.64844,2.34932,0.03273
0.55469,3.31682,0.04862
0.58594,2.65793,0.11661
0.67188,2.44275,0.11965
0.64062,3.16658,0.14720
0.64844,2.09699,0.18424
0.60938,3.22176,0.15066
0.64062,2.34360,0.02101
0.60938,2.56756,0.18728
0.64062,2.67934,0.13175
0.63281,2.41256,0.12591
0.62500,2.46970,0.04644
0.64844,3.33379,0.46485
0.59375,2.51526,0.20433
0.64062,3.01209,0.05130
0.69531,2.36268,0.05113
0.66406,2.15946,0.20103
0.65625,2.48086,0.06420
0.53125,3.81232,0.06449
0.69531,2.07189,0.09009
0.64062,1.89672,0.10546
0.68750,1.93369,0.08365
0.60156,1.95322,0.02757
0.61719,2.39637,0.08881
0.66406,2.26980,0.14410
0.67969,2.38497,0.05128
0.67188,2.66960,0.10581
0.59375,2.79415,0.01531
0.67969,2.31063,0.06199
0.61719,2.26311,0.17362
0.70312,3.07550,0.06141
0.57812,2.89054,0.03573
0.61719,2.90628,0.18076
0.61719,2.71264,0.07876
0.60938,2.59197,0.11540
0.64844,2.40909,0.09980
0.60156,3.13014,0.09457
0.63281,2.59911,0.15866
0.63281,2.33871,0.16383
0.60156,2.99093,0.04984
0.62500,2.98312,0.03670
0.70312,2.51516,0.06190
0.63281,2.45817,0.04415
0.63281,2.02733,0.17851
0.70312,2.12677,0.19997
0.58594,2.40535,0.07429
0.66406,1.95538,0.11487
0.62500,3.24602,0.09323
0.60938,2.70067,0.01581
0.64844,2.56466,0.07518
0.73438,2.05600,0.25400
0.59375,2.99349,0.12463
0.64062,3.61000,0.27347
0.64062,2.60659,0.06689
0.70312,1.97151,0.17811
0.56250,3.24722,0.02410
0.63281,3.34352,0.20948
0.67969,2.67747,0.10948
0.64062,2.20771,0.22234
0.63281,2.80725,0.14450
0.67188,2.42066,0.20987
0.69531,1.63613,0.02597
0.57812,3.55286,0.04999
0.66406,2.41877,0.17763
0.57812,1.72813,0.43744
0.62500,2.03164,0.16651
0.62500,2.84821,0.06238
0.60156,2.51861,0.01839
0.69531,1.69413,0.02222
0.61719,2.43882,0.07804
0.60938,2.57011,0.05386
0.66406,2.55016,0.12745
0.60156,2.58948,0.13214
0.59375,2.95208,0.05425
0.61719,3.19095,0.06225
0.57812,3.00079,0.13867
0.53906,3.28702,0.05128
0.67188,3.76397,0.02894
0.54688,3.79601,0.17251
0.60156,2.88425,0.17194
0.67188,2.32695,0.13192
0.61719,2.77316,0.09927
0.57812,3.81996,0.06504
0.61719,2.56794,0.10939
0.57812,3.60308,0.00793
0.64062,2.33414,0.19380
0.67188,1.87519,0.20311
0.60156,3.25851,0.09036
0.63281,2.68616,0.10327
0.55469,3.14931,0.23305
0.58594,3.61182,0.10819
0.64844,2.39019,0.08459
0.61719,3.36323,0.12721
0.57031,3.16225,0.28821
0.70312,1.96046,0.10041
0.66406,2.63267,0.04609
0.64062,2.04899,0.07884
0.60938,2.88709,0.07257
0.63281,2.95788,0.08930
0.59375,2.76254,0.53434
0.67188,2.16765,0.17717
0.64062,3.03474,0.07212
0.58594,2.99325,0.06051
0.67188,2.36364,0.02561
0.68750,2.61262,0.02566
0.68750,2.42595,0.09357
0.62500,2.73106,0.01432
0.60156,3.73001,0.01540
0.67969,2.51264,0.13756
0.57812,3.66005,0.13582
0.56250,3.27704,0.15314
0.59375,3.38045,0.03495
0.66406,2.72351,0.02648
0.66406,2.63678,0.03739
0.60938,3.27493,0.20741
