accuracy,loss,t-loss
0.62500,1.43349,0.57880
0.72656,1.21733,0.23374
0.65625,1.37302,0.46289
0.64062,1.67014,0.24093
0.70312,1.09541,0.22026
0.67969,1.25183,0.43173
0.67188,1.22988,0.56696
0.71875,1.37585,0.50666
0.66406,1.49346,0.25646
0.67188,1.67146,0.30978
0.68750,1.65218,0.46729
0.71094,1.38628,0.19441
0.63281,1.70156,0.18180
0.63281,1.57947,0.53790
0.69531,1.28195,0.21653
0.68750,1.30525,0.40180
0.63281,1.52770,0.18385
0.63281,1.73465,0.22724
0.60156,1.86007,0.21723
0.71094,1.08962,0.46281
0.71875,1.61318,0.41013
0.68750,1.66225,0.17277
0.75000,1.33624,0.39754
0.65625,1.53763,0.36576
0.63281,1.50558,0.35759
0.64844,1.89196,0.60207
0.65625,1.83117,0.20067
0.66406,1.52899,0.09625
0.73438,1.12278,0.14621
0.71875,1.60886,0.34844
0.69531,1.16521,0.39832
0.70312,1.52857,0.26675
0.67188,1.53868,0.14077
0.67188,1.44870,0.21949
0.62500,1.49028,0.34944
0.71094,1.58533,0.16122
0.69531,1.41474,0.40176
0.62500,1.72661,0.18147
0.71875,1.35401,0.21324
0.67188,1.75791,0.18705
0.67969,1.75261,0.45522
0.67188,1.63732,0.10944
0.64844,1.65308,0.25461
0.66406,1.44969,0.29390
0.64062,1.96223,0.33711
0.74219,1.01505,0.08165
0.76562,1.04788,0.45221
0.73438,1.28933,0.20662
0.70312,1.34093,0.37457
0.66406,1.81526,0.09142
0.64062,1.84119,0.13521
0.75781,1.21702,0.08216
0.69531,1.22229,0.36945
0.70312,1.46106,0.18027
0.64844,1.96995,0.13045
0.71094,1.68502,0.07236
0.62500,2.44535,0.05225
0.73438,1.40545,0.10097
0.64062,2.18675,0.15272
0.67969,2.12018,0.27133
0.67969,1.98655,0.14811
0.61719,2.26257,0.18125
0.68750,1.55166,0.09747
0.67969,1.94425,0.12929
0.75000,1.41521,0.12583
0.74219,1.14141,0.15826
0.62500,1.86657,0.15169
0.63281,1.70549,0.17123
0.60938,1.81767,0.17010
0.70312,1.32322,0.16072
0.71875,1.60332,0.07875
0.70312,1.37116,0.25314
0.65625,1.44917,0.24751
0.69531,1.51893,0.24710
0.69531,1.58106,0.09942
0.64062,1.86470,0.07795
0.66406,1.99470,0.07895
0.67969,1.42188,0.14977
0.72656,1.52062,0.20028
0.71094,1.45763,0.25532
0.67969,1.49732,0.05584
0.71094,1.44303,0.13663
0.75781,1.22164,0.10392
0.69531,2.06221,0.04995
0.71094,1.68534,0.08069
0.75000,1.32812,0.07682
0.57031,2.37014,0.21851
0.67969,1.34721,0.05906
0.62500,1.91730,0.20970
0.68750,1.66609,0.21970
0.75000,1.56039,0.14642
0.73438,1.69932,0.26517
0.61719,2.00180,0.17447
0.74219,1.44586,0.09992
0.71875,1.36230,0.11542
0.71875,1.58555,0.08282
0.66406,1.88038,0.10204
0.75000,1.16323,0.04763
0.60938,1.96734,0.12121
0.67969,1.69954,0.21450
0.72656,1.67176,0.23196
0.78125,1.32725,0.15910
0.72656,1.58160,0.31365
0.65625,2.10798,0.31040
0.73438,1.41729,0.07533
0.67969,1.68455,0.30557
0.60938,1.88860,0.20081
0.69531,2.03187,0.16121
0.61719,2.40903,0.18078
0.69531,1.56964,0.11932
0.67969,1.52824,0.12679
0.75000,1.31017,0.10783
0.72656,1.37418,0.09951
0.66406,2.39365,0.34467
0.67969,2.01671,0.03913
0.69531,1.51054,0.16218
0.76562,1.16102,0.15087
0.64844,1.78181,0.09001
0.71094,2.21938,0.16730
0.64062,1.83801,0.27855
0.72656,1.57698,0.08144
0.67188,2.19630,0.44236
0.66406,2.48465,0.33150
0.71875,1.54998,0.22780
0.70312,1.71030,0.04619
0.62500,1.82661,0.25834
0.70312,1.80345,0.09293
0.74219,1.40448,0.03136
0.68750,2.18529,0.24329
0.65625,1.94416,0.14105
0.77344,1.49589,0.20058
0.74219,1.28532,0.07806
0.64062,2.18048,0.23170
0.69531,1.37235,0.11129
0.71875,1.27968,0.13202
0.77344,1.44961,0.11172
0.62500,2.15204,0.19920
0.64062,2.51784,0.14334
0.72656,1.82088,0.10657
0.68750,1.88523,0.22817
0.71875,1.21021,0.08880
0.65625,2.13700,0.21594
0.73438,1.73348,0.16555
0.67188,2.44863,0.18046
0.69531,2.00175,0.08480
0.68750,2.45429,0.06780
0.64062,3.23788,0.26162
0.70312,1.32559,0.21816
0.65625,2.03711,0.11843
0.73438,1.45027,0.11206
0.69531,1.73919,0.04752
0.57812,2.57738,0.13093
0.70312,1.65147,0.10213
0.71094,2.43762,0.18304
0.62500,2.23469,0.05086
0.66406,2.36907,0.10251
0.65625,2.23198,0.41445
