accuracy,loss,t-loss
0.29688,61.03345,59.23734
0.30469,33.72930,31.07113
0.36719,17.01138,22.16599
0.26562,17.30105,12.86722
0.31250,10.19188,8.51401
0.25781,8.11347,5.82848
0.23438,6.78401,5.25700
0.30469,4.28937,3.57365
0.30469,3.16035,2.84856
0.30469,2.99377,3.22029
0.32812,2.52685,2.39268
0.35156,2.46962,2.37999
0.35938,1.95882,1.82932
0.40625,1.86803,1.98163
0.39062,2.11369,1.92300
0.33594,1.89875,1.94715
0.42969,1.87318,1.83293
0.44531,1.64005,1.76808
0.36719,1.63075,1.43668
0.42188,1.74830,1.55844
0.32031,1.95239,1.75359
0.30469,1.94597,1.48237
0.46094,1.56904,1.57134
0.41406,1.78996,1.81303
0.38281,1.67213,1.52104
0.45312,1.45495,1.42740
0.43750,1.81743,1.49229
0.45312,1.78065,1.60115
0.45312,1.65400,1.36362
0.48438,1.40090,1.38260
0.46094,1.57098,1.25527
0.41406,1.64939,1.32880
0.45312,1.53749,1.45311
0.44531,1.69197,1.40456
0.51562,1.49959,1.49240
0.45312,1.68355,1.23138
0.45312,1.47267,1.32481
0.52344,1.44806,1.20976
0.57812,1.30634,1.29146
0.55469,1.39708,1.29250
0.47656,1.65060,1.32655
0.43750,1.57960,1.47369
0.46875,1.62213,1.17777
0.50781,1.55993,1.42249
0.50000,1.62979,1.36629
0.49219,1.42642,1.17542
0.41406,1.70198,1.22071
0.49219,1.57837,1.29647
0.52344,1.49892,1.18485
0.43750,1.49098,1.36859
0.50781,1.51001,1.16273
0.47656,1.43961,0.98528
0.56250,1.32407,1.10635
0.53906,1.42851,1.28850
0.50781,1.60459,1.35225
0.57031,1.28990,1.25983
0.54688,1.57071,1.24054
0.51562,1.32612,1.21932
0.56250,1.20787,1.11934
0.55469,1.24820,1.33224
0.50000,1.41311,1.13466
0.46094,1.37834,1.31445
0.57031,1.14124,1.21739
0.53125,1.28354,0.86663
0.51562,1.42062,1.06067
0.60938,1.13307,0.95690
0.54688,1.24335,0.94206
0.53906,1.48062,1.18054
0.54688,1.38720,1.12105
0.53125,1.48170,1.12493
0.58594,1.14683,0.96529
0.53125,1.41838,1.03171
0.45312,1.46232,1.02778
0.54688,1.27876,1.03995
0.54688,1.35559,1.23563
0.57031,1.27670,1.24564
0.55469,1.17368,0.85007
0.55469,1.55785,0.91092
0.56250,1.17942,0.85485
0.54688,1.36385,1.24473
0.60938,1.17309,1.11798
0.58594,1.32583,1.04791
0.55469,1.35726,0.81100
0.53125,1.58483,1.01822
0.56250,1.27394,1.05460
0.56250,1.26065,0.80584
0.62500,1.20750,1.08578
0.55469,1.35766,0.94900
0.65625,1.15387,0.76146
0.65625,1.15895,1.04354
0.52344,1.36338,0.79397
0.57031,1.38376,1.02237
0.63281,1.20906,0.84394
0.54688,1.36319,1.13275
0.61719,1.25469,1.01756
0.57812,1.23065,0.97075
0.54688,1.21251,0.85630
0.64844,1.15032,1.03421
0.64062,1.15208,1.00536
0.56250,1.30489,1.17790
0.64844,1.10286,0.77916
0.60938,1.44729,0.72308
0.66406,1.15151,0.89010
0.60938,1.35568,0.87212
0.64844,1.13881,0.99445
0.63281,1.35289,0.71718
0.61719,1.07980,0.89525
0.60938,1.21363,0.93023
0.60938,1.25030,0.72244
0.63281,1.17903,0.98438
0.58594,1.18213,0.71335
0.64062,1.27716,0.69676
0.61719,1.28911,0.81579
0.57812,1.18831,0.91505
0.57812,1.16917,0.88799
0.63281,1.21150,0.65527
0.65625,1.14346,0.75235
0.60156,1.09950,0.80623
0.62500,1.16188,0.68580
0.63281,1.17207,0.84378
0.55469,1.35966,0.99089
0.65625,1.11023,0.70879
0.67969,0.88214,0.90922
0.64062,1.09794,0.77399
0.60938,0.94363,0.64404
0.59375,1.26245,0.90612
0.64844,1.30204,0.63506
0.62500,1.48986,0.65044
0.64062,1.09201,0.80084
0.60156,1.33435,0.73321
0.62500,1.13083,0.63743
0.60156,1.14999,0.58645
0.59375,1.18872,1.04494
0.53906,1.51143,0.76197
0.58594,1.35336,0.91415
0.61719,1.17423,0.70954
0.64844,1.19892,0.84090
0.66406,1.05150,0.45700
0.64844,0.86527,0.70010
0.61719,1.46579,0.60068
0.67969,1.10160,0.62475
0.62500,1.27173,0.79963
0.65625,1.39782,0.64825
0.65625,1.17872,0.61149
0.63281,1.14918,0.87746
0.68750,1.04182,0.71802
0.56250,1.50787,0.84728
0.65625,1.08200,0.51002
0.66406,1.17724,0.58705
