accuracy,loss,t-loss
0.26562,178.64354,152.07718
0.32031,56.00019,68.57539
0.24219,26.48578,22.74546
0.16406,2.58030,2.77523
0.10156,2.30506,2.96588
0.10938,2.98660,2.28309
0.10938,2.70304,2.22347
0.16406,2.20980,2.47537
0.14062,2.48170,2.16045
0.08594,2.22582,2.18924
0.14062,2.31436,2.20675
0.15625,2.36382,2.28395
0.14062,2.15917,2.19358
0.16406,2.68093,2.23883
0.10156,2.17528,2.14372
0.18750,2.28488,2.15248
0.15625,2.14414,2.16799
0.20312,2.12935,2.11628
0.16406,2.18707,2.13091
0.19531,2.17935,2.14386
0.20312,2.17225,2.02562
0.14844,2.24163,2.09897
0.13281,2.59372,2.20077
0.15625,2.20501,2.08164
0.17188,2.15168,2.04531
0.14062,2.28144,2.18821
0.17969,2.42769,2.07627
0.20312,2.10483,2.05458
0.17188,2.22469,2.23743
0.21094,1.99370,1.92393
0.14062,2.13425,2.17937
0.14062,2.36093,2.19663
0.21875,2.30471,2.23384
0.22656,2.23523,2.02583
0.18750,2.15387,2.15993
0.25781,2.14324,2.05931
0.22656,2.30010,2.23451
0.19531,2.12021,2.07787
0.19531,2.17611,2.19865
0.21875,2.12912,2.05663
0.18750,2.14439,2.10932
0.16406,2.20551,2.14468
0.17969,2.07416,2.15908
0.21875,2.17139,2.05079
0.21094,2.01481,2.06650
0.17969,2.14058,2.08447
0.17969,2.11850,2.09890
0.17969,2.09527,1.91382
0.17969,2.24197,2.08417
0.11719,2.08158,2.04300
0.20312,2.00040,2.01753
0.23438,2.11060,2.13018
0.21094,2.06765,2.14575
0.24219,1.97442,2.03126
0.18750,2.07414,2.13130
0.20312,2.16451,2.00602
0.21094,2.02874,2.01764
0.15625,2.12817,1.91689
0.13281,2.39851,2.10040
0.22656,2.04983,1.99167
0.18750,2.09854,1.87532
0.14844,2.16138,2.10061
0.23438,1.91053,1.87426
0.14844,2.31250,2.20769
0.17969,2.01786,1.97534
0.17969,2.13276,1.90562
0.17188,2.48549,2.01101
0.30469,1.87746,1.91357
0.17188,2.02910,2.17758
0.16406,1.99011,1.91253
0.22656,2.19781,2.00892
0.18750,2.00617,2.01026
0.17969,1.91135,1.87665
0.14062,2.08204,1.85084
0.13281,1.90952,1.87026
0.15625,1.92290,1.86669
0.16406,2.00511,2.08747
0.18750,1.89905,1.89133
0.20312,1.97755,2.02881
0.19531,1.97920,1.82302
0.25781,2.02887,2.01805
0.21875,2.01558,1.85885
0.17969,1.98088,1.83851
0.20312,1.95884,1.83973
