accuracy,loss,t-loss
0.25000,1.12646,1.06496
0.25000,1.12398,1.08031
0.15000,1.13410,1.10936
0.15000,1.13838,1.12778
0.15000,1.14261,1.06869
0.15000,1.14887,1.05114
0.15000,1.14953,1.04903
0.25000,1.12201,1.11990
0.25000,1.11271,1.03411
0.20000,1.11065,1.10435
0.20000,1.10233,1.05046
0.25000,1.08836,1.08032
0.30000,1.04873,1.06565
0.25000,1.05424,1.04753
0.25000,1.03650,0.94398
0.20000,1.02437,0.98189
0.35000,1.03826,0.89095
0.50000,0.99523,0.80332
0.50000,1.00984,0.83630
0.65000,0.94732,0.75391
0.50000,0.98159,0.80284
0.55000,0.95801,0.82325
0.70000,0.84376,0.79372
0.70000,0.82446,0.74086
0.50000,0.86720,0.72795
0.60000,0.79838,0.72894
0.70000,0.73674,0.75130
0.50000,0.79842,0.62613
0.65000,0.70766,0.64901
0.60000,0.70763,0.65202
0.50000,0.73191,0.71395
0.50000,0.71745,0.46866
0.65000,0.61798,0.59643
0.50000,0.64967,0.63200
0.50000,0.63429,0.60245
0.50000,0.62478,0.56675
0.50000,0.62421,0.57463
0.70000,0.48081,0.62109
0.50000,0.59598,0.51135
0.60000,0.52480,0.40652
0.65000,0.47189,0.38208
0.65000,0.47799,0.35071
0.55000,0.51324,0.35325
0.90000,0.40562,0.55773
0.70000,0.45009,0.33594
0.85000,0.44001,0.29561
0.75000,0.37363,0.38819
0.60000,0.45560,0.31004
0.60000,0.45144,0.40855
0.75000,0.35545,0.46111
0.85000,0.33084,0.38922
0.90000,0.36476,0.33818
0.95000,0.30107,0.30551
0.70000,0.40323,0.20350
0.85000,0.36615,0.34421
0.75000,0.35899,0.40438
0.95000,0.38527,0.20884
1.00000,0.27359,0.25316
0.85000,0.31704,0.17715
0.95000,0.31657,0.19411
0.75000,0.36617,0.37542
0.70000,0.35227,0.37167
1.00000,0.26909,0.28618
1.00000,0.29616,0.26835
0.80000,0.35819,0.30892
0.95000,0.25000,0.22171
1.00000,0.26447,0.26069
0.90000,0.27746,0.18185
1.00000,0.30563,0.25082
0.85000,0.31047,0.14499
1.00000,0.24395,0.21431
0.95000,0.29561,0.13629
1.00000,0.21188,0.21602
1.00000,0.21273,0.21467
0.90000,0.22784,0.15088
0.95000,0.25174,0.16459
