accuracy,loss,t-loss
0.15000,1.07020,1.02558
0.45000,1.06600,1.02611
0.60000,1.03019,1.01365
0.55000,1.02690,1.00770
0.50000,1.02186,0.97484
0.50000,1.00589,0.97982
0.65000,0.98087,0.95929
0.70000,0.96306,0.96990
0.50000,0.97112,0.93932
0.50000,0.95828,0.90849
0.70000,0.91557,0.93633
0.75000,0.90482,0.87110
0.60000,0.92587,0.81304
0.75000,0.87249,0.83324
0.60000,0.90304,0.84445
0.50000,0.90476,0.78758
0.50000,0.89138,0.73124
0.75000,0.79747,0.76503
0.65000,0.81277,0.80110
0.50000,0.80167,0.73873
0.75000,0.69472,0.71016
0.50000,0.75285,0.66012
0.60000,0.70673,0.63132
0.50000,0.70731,0.49172
0.75000,0.50199,0.54523
0.70000,0.52131,0.46774
0.70000,0.49216,0.35370
0.50000,0.59802,0.22211
0.70000,0.44565,0.28308
0.55000,0.54850,0.38525
0.55000,0.52822,0.25144
0.70000,0.41038,0.25162
0.75000,0.40099,0.31194
0.80000,0.38217,0.44549
0.65000,0.44739,0.14616
0.90000,0.35491,0.29608
0.80000,0.36423,0.24507
0.55000,0.48762,0.34741
0.75000,0.38661,0.22111
0.90000,0.32256,0.36262
0.75000,0.41870,0.20895
0.95000,0.26936,0.27061
0.75000,0.32629,0.11192
0.90000,0.28957,0.18612
1.00000,0.30615,0.12750
0.90000,0.30489,0.16257
0.85000,0.32154,0.08341
0.90000,0.24162,0.13464
0.90000,0.25962,0.10816
0.95000,0.27327,0.15902
1.00000,0.28243,0.11789
0.95000,0.24186,0.25293
0.95000,0.22748,0.09675
0.95000,0.24059,0.18652
0.95000,0.21065,0.08512
1.00000,0.19715,0.15033
1.00000,0.21464,0.12803
1.00000,0.19158,0.14868
1.00000,0.15868,0.11668
1.00000,0.17133,0.12496
0.95000,0.16931,0.13784
0.95000,0.19820,0.09235
1.00000,0.17761,0.15123
0.95000,0.14031,0.15222
1.00000,0.14600,0.13277
1.00000,0.14705,0.06992
1.00000,0.12562,0.05840
