accuracy,loss,t-loss
0.25000,1.09741,1.06044
0.25000,1.10642,1.06239
0.60000,1.08707,1.03405
0.60000,1.07377,1.04549
0.50000,1.08577,1.03730
0.70000,1.05194,1.02023
0.80000,1.03385,1.00123
0.75000,1.03275,0.95817
0.75000,1.01194,0.94482
0.75000,0.99954,0.95286
0.70000,0.98915,0.93064
0.65000,0.99225,0.92683
0.75000,0.94093,0.94589
0.70000,0.94518,0.87264
0.75000,0.91456,0.91082
0.85000,0.87894,0.82166
0.55000,0.92310,0.86059
0.50000,0.90119,0.76245
0.65000,0.85537,0.74758
0.85000,0.75672,0.74747
0.70000,0.77213,0.74093
0.55000,0.80386,0.59900
0.60000,0.74304,0.56533
0.55000,0.67775,0.48024
0.85000,0.53051,0.31800
0.90000,0.48466,0.28772
0.75000,0.49744,0.57712
0.85000,0.47351,0.33761
0.85000,0.38191,0.51440
0.80000,0.42072,0.21689
0.60000,0.50218,0.28390
0.65000,0.46782,0.26025
0.80000,0.34736,0.39359
0.65000,0.47245,0.14591
0.85000,0.34662,0.35135
0.85000,0.34944,0.18174
0.80000,0.40151,0.27214
0.70000,0.37932,0.32075
0.85000,0.32985,0.19814
0.85000,0.33742,0.33674
1.00000,0.26466,0.26380
0.80000,0.38861,0.14438
0.85000,0.27393,0.13252
0.90000,0.29628,0.28579
0.95000,0.29161,0.25714
0.80000,0.31889,0.22510
1.00000,0.19949,0.10575
0.90000,0.24514,0.10716
0.85000,0.24778,0.11214
1.00000,0.22470,0.18203
0.95000,0.31647,0.17549
0.90000,0.24283,0.08000
0.85000,0.24148,0.09307
1.00000,0.18136,0.21098
0.95000,0.18067,0.08779
1.00000,0.16824,0.18558
1.00000,0.13952,0.17529
0.95000,0.21118,0.16156
1.00000,0.18252,0.05451
0.95000,0.17694,0.06123
1.00000,0.15321,0.07368
1.00000,0.17803,0.08262
1.00000,0.13488,0.13904
1.00000,0.12354,0.07894
1.00000,0.12172,0.04412
0.95000,0.20824,0.11118
0.95000,0.17657,0.05885
0.95000,0.17244,0.10914
